# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
   15.330661323    2.174597484    2.174598533    2.174598500
   15.390781563    2.166435162    2.166436206    2.166436175
   15.450901804    2.158355878    2.158356917    2.158356887
   15.511022044    2.150358528    2.150359563    2.150359535
   15.571142285    2.142442030    2.142443060    2.142443033
   15.631262525    2.134605315    2.134606341    2.134606315
   15.691382766    2.126847334    2.126848355    2.126848331
   15.751503006    2.119167054    2.119168071    2.119168048
   15.811623246    2.111563460    2.111564473    2.111564451
   15.871743487    2.104035551    2.104036559    2.104036538
   15.931863727    2.096582343    2.096583347    2.096583328
   15.991983968    2.089202869    2.089203868    2.089203850
   16.052104208    2.081896175    2.081897170    2.081897153
   16.112224449    2.074661323    2.074662314    2.074662298
   16.172344689    2.067497391    2.067498378    2.067498363
   16.232464930    2.060403470    2.060404453    2.060404439
   16.292585170    2.053378667    2.053379645    2.053379632
   16.352705411    2.046422100    2.046423074    2.046423062
   16.412825651    2.039532903    2.039533873    2.039533863
   16.472945892    2.032710225    2.032711190    2.032711181
   16.533066132    2.025953224    2.025954186    2.025954177
   16.593186373    2.019261075    2.019262032    2.019262024
   16.653306613    2.012632963    2.012633916    2.012633909
   16.713426854    2.006068087    2.006069036    2.006069030
   16.773547094    1.999565658    1.999566603    1.999566599
   16.833667335    1.993124899    1.993125841    1.993125837
   16.893787575    1.986745045    1.986745983    1.986745980
   16.953907816    1.980425343    1.980426277    1.980426275
   17.014028056    1.974165050    1.974165980    1.974165979
   17.074148297    1.967963436    1.967964362    1.967964362
   17.134268537    1.961819781    1.961820704    1.961820704
   17.194388778    1.955733377    1.955734295    1.955734296
   17.254509018    1.949703524    1.949704439    1.949704440
   17.314629259    1.943729535    1.943730446    1.943730449
   17.374749499    1.937810734    1.937811641    1.937811644
   17.434869739    1.931946451    1.931947354    1.931947358
   17.494989980    1.926136030    1.926136930    1.926136935
   17.555110220    1.920378823    1.920379719    1.920379725
   17.615230461    1.914674192    1.914675085    1.914675091
   17.675350701    1.909021509    1.909022397    1.909022404
   17.735470942    1.903420153    1.903421038    1.903421045
   17.795591182    1.897869514    1.897870395    1.897870403
   17.855711423    1.892368990    1.892369868    1.892369877
   17.915831663    1.886917990    1.886918864    1.886918874
   17.975951904    1.881515928    1.881516799    1.881516809
   18.036072144    1.876162230    1.876163097    1.876163108
   18.096192385    1.870856327    1.870857191    1.870857202
   18.156312625    1.865597661    1.865598521    1.865598533
   18.216432866    1.860385681    1.860386538    1.860386550
   18.276553106    1.855219843    1.855220696    1.855220709
   18.336673347    1.850099612    1.850100462    1.850100476
   18.396793587    1.845024460    1.845025307    1.845025321
   18.456913828    1.839993867    1.839994711    1.839994725
   18.517034068    1.835007321    1.835008161    1.835008176
   18.577154309    1.830064315    1.830065152    1.830065167
   18.637274549    1.825164351    1.825165184    1.825165200
   18.697394790    1.820306938    1.820307768    1.820307784
   18.757515030    1.815491590    1.815492417    1.815492434
   18.817635271    1.810717832    1.810718655    1.810718673
   18.877755511    1.805985190    1.805986010    1.805986028
   18.937875752    1.801293201    1.801294018    1.801294037
   18.997995992    1.796641408    1.796642221    1.796642240
   19.058116232    1.792029357    1.792030168    1.792030187
   19.118236473    1.787456604    1.787457411    1.787457431
   19.178356713    1.782922709    1.782923514    1.782923534
   19.238476954    1.778427240    1.778428041    1.778428062
   19.298597194    1.773969768    1.773970567    1.773970588
   19.358717435    1.769549873    1.769550669    1.769550690
   19.418837675    1.765167139    1.765167931    1.765167953
   19.478957916    1.760821156    1.760821945    1.760821967
   19.539078156    1.756511519    1.756512305    1.756512328
   19.599198397    1.752237830    1.752238613    1.752238635
   19.659318637    1.747999694    1.748000474    1.748000497
   19.719438878    1.743796724    1.743797501    1.743797525
   19.779559118    1.739628537    1.739629311    1.739629335
   19.839679359    1.735494754    1.735495525    1.735495549
   19.899799599    1.731395004    1.731395772    1.731395796
   19.959919840    1.727328917    1.727329682    1.727329707
   20.020040080    1.723296132    1.723296894    1.723296919
   20.080160321    1.719296289    1.719297049    1.719297074
   20.140280561    1.715329037    1.715329793    1.715329819
   20.200400802    1.711394025    1.711394778    1.711394804
   20.260521042    1.707490910    1.707491661    1.707491687
   20.320641283    1.703619352    1.703620100    1.703620126
   20.380761523    1.699779017    1.699779762    1.699779788
   20.440881764    1.695969573    1.695970315    1.695970342
   20.501002004    1.692190694    1.692191433    1.692191460
   20.561122244    1.688442058    1.688442794    1.688442822
   20.621242485    1.684723346    1.684724080    1.684724108
   20.681362725    1.681034246    1.681034978    1.681035006
   20.741482966    1.677374448    1.677375176    1.677375204
   20.801603206    1.673743644    1.673744370    1.673744399
   20.861723447    1.670141535    1.670142258    1.670142287
   20.921843687    1.666567821    1.666568542    1.666568570
   20.981963928    1.663022209    1.663022927    1.663022956
   21.042084168    1.659504408    1.659505123    1.659505152
   21.102204409    1.656014131    1.656014844    1.656014873
   21.162324649    1.652551096    1.652551806    1.652551836
   21.222444890    1.649115023    1.649115730    1.649115760
   21.282565130    1.645705636    1.645706340    1.645706370
   21.342685371    1.642322662    1.642323364    1.642323394
   21.402805611    1.638965833    1.638966533    1.638966563
   21.462925852    1.635634883    1.635635580    1.635635611
   21.523046092    1.632329550    1.632330245    1.632330275
   21.583166333    1.629049575    1.629050267    1.629050298
   21.643286573    1.625794701    1.625795391    1.625795422
   21.703406814    1.622564677    1.622565364    1.622565395
   21.763527054    1.619359253    1.619359937    1.619359969
   21.823647295    1.616178182    1.616178864    1.616178896
   21.883767535    1.613021222    1.613021901    1.613021933
